TIME,CH2,Model,TBS2074B
3.98E+00,-0.002,,
3.98E+00,-0.0112,,
3.99E+00,0.0096,,
4.00E+00,-0.0064,,
4.01E+00,-0.0096,,
4.02E+00,0.0044,,
4.02E+00,-0.0128,,
4.03E+00,0.0076,,
4.04E+00,0.002,,
4.05E+00,-0.0024,,
4.06E+00,0.0012,,
4.06E+00,-0.0016,,
4.07E+00,0.0012,,
4.08E+00,0.0004,,
4.09E+00,0,,
4.10E+00,-0.0004,,
4.10E+00,0.0004,,
4.11E+00,0.0008,,
4.12E+00,-0.0004,,
4.13E+00,-0.0004,,
4.14E+00,-0.0008,,
4.14E+00,-0.0008,,
4.15E+00,-0.0016,,
4.16E+00,0.0004,,
4.17E+00,-0.0048,,
4.18E+00,-0.0032,,
4.18E+00,0.0008,,
4.19E+00,0.0072,,
4.20E+00,-0.0056,,
4.21E+00,0,,
4.22E+00,-0.0044,,
4.22E+00,0.0032,,
4.23E+00,0.0048,,
4.24E+00,-0.0056,,
4.25E+00,-0.0016,,
4.26E+00,0.0148,,
4.26E+00,-0.008,,
4.27E+00,-0.0048,,
4.28E+00,0.01,,
4.29E+00,0.0084,,
4.30E+00,-0.0012,,
4.30E+00,-0.0072,,
4.31E+00,-0.012,,
4.32E+00,-0.002,,
4.33E+00,0.0072,,
4.34E+00,-0.0076,,
4.34E+00,-0.0072,,
4.35E+00,0.012,,
4.36E+00,0.0112,,
4.37E+00,0.0004,,
4.38E+00,-0.0088,,
4.38E+00,-0.0048,,
4.39E+00,0.0044,,
4.40E+00,0.0044,,
4.41E+00,-0.0112,,
4.42E+00,-0.0028,,
4.42E+00,0.0164,,
4.43E+00,-0.0052,,
4.44E+00,-0.0072,,
4.45E+00,0.0052,,
4.46E+00,-0.0076,,
4.46E+00,0,,
4.47E+00,0,,
4.48E+00,0.0012,,
4.49E+00,-0.0004,,
4.50E+00,-0.0004,,
4.50E+00,-0.0004,,
4.51E+00,-0.0008,,
4.52E+00,0.0008,,
4.53E+00,0,,
4.54E+00,-0.0008,,
4.54E+00,-0.0012,,
4.55E+00,-0.0008,,
4.56E+00,0.0004,,
4.57E+00,-0.0008,,
4.58E+00,0,,
4.58E+00,0.0012,,
4.59E+00,0.0004,,
4.60E+00,0,,
4.61E+00,-0.0008,,
4.62E+00,-0.0004,,
4.62E+00,-0.0008,,
4.63E+00,0,,
4.64E+00,-0.0004,,
4.65E+00,0.0024,,
4.66E+00,0.0008,,
4.66E+00,-0.0004,,
4.67E+00,-0.0008,,
4.68E+00,0.0004,,
4.69E+00,0,,
4.70E+00,-0.0008,,
4.70E+00,0.0004,,
4.71E+00,0,,
4.72E+00,-0.0016,,
4.73E+00,0,,
4.74E+00,0,,
4.74E+00,0,,
4.75E+00,0,,
4.76E+00,-0.0008,,
4.77E+00,-0.0004,,
4.78E+00,-0.0008,,
4.78E+00,-0.0008,,
4.79E+00,-0.0004,,
4.80E+00,0,,
4.81E+00,-0.0004,,
4.82E+00,0.0004,,
4.82E+00,0.0008,,
4.83E+00,-0.0004,,
4.84E+00,-0.0004,,
4.85E+00,0.0004,,
4.86E+00,-0.0004,,
4.86E+00,0,,
4.87E+00,-0.0008,,
4.88E+00,-0.0016,,
4.89E+00,0.0008,,
4.90E+00,0.0016,,
4.90E+00,-0.0008,,
4.91E+00,0,,
4.92E+00,-0.0012,,
4.93E+00,0.0004,,
4.94E+00,-0.0012,,
4.94E+00,0,,
4.95E+00,-0.0004,,
4.96E+00,-0.0012,,
4.97E+00,-0.004,,
4.98E+00,0.0016,,
4.98E+00,0.0024,,
4.99E+00,-0.004,,
5.00E+00,-0.0088,,
5.01E+00,-0.0016,,
5.02E+00,0.0056,,
5.02E+00,0.0068,,
5.03E+00,0.0056,,
5.04E+00,0.0008,,
5.05E+00,-0.0036,,
5.06E+00,-0.0052,,
5.06E+00,-0.006,,
5.07E+00,-0.0068,,
5.08E+00,-0.0052,,
5.09E+00,-0.0016,,
5.10E+00,0.0008,,
5.10E+00,0.0096,,
5.11E+00,0.0124,,
5.12E+00,0.0108,,
5.13E+00,0.0088,,
5.14E+00,0.0088,,
5.14E+00,0.008,,
5.15E+00,0.0092,,
5.16E+00,0.0088,,
5.17E+00,0.0092,,
5.18E+00,0.0096,,
5.18E+00,0.0088,,
5.19E+00,0.0084,,
5.20E+00,0.0096,,
5.21E+00,0.01,,
5.22E+00,0.0084,,
5.22E+00,0.0004,,
5.23E+00,-0.0096,,
5.24E+00,-0.0104,,
5.25E+00,-0.0032,,
5.26E+00,0.0024,,
5.26E+00,0.0056,,
5.27E+00,0.0072,,
5.28E+00,-0.0008,,
5.29E+00,-0.008,,
5.30E+00,-0.0004,,
5.30E+00,-0.0032,,
5.31E+00,-0.0004,,
5.32E+00,0.0004,,
5.33E+00,0.0004,,
5.34E+00,0.0008,,
5.34E+00,0.0004,,
5.35E+00,0.0004,,
5.36E+00,0.0004,,
5.37E+00,-0.0008,,
5.38E+00,0.0012,,
5.38E+00,-0.0008,,
5.39E+00,-0.0004,,
5.40E+00,0.0004,,
5.41E+00,0.002,,
5.42E+00,0,,
5.42E+00,-0.0004,,
5.43E+00,0,,
5.44E+00,0.0004,,
5.45E+00,-0.0004,,
5.46E+00,-0.0012,,
5.46E+00,-0.0012,,
5.47E+00,0,,
5.48E+00,0.0004,,
5.49E+00,-0.006,,
5.50E+00,-0.0008,,
5.50E+00,0.0064,,
5.51E+00,-0.0072,,
5.52E+00,0,,
5.53E+00,0,,
5.54E+00,-0.0068,,
5.54E+00,0.0048,,
5.55E+00,-0.004,,
5.56E+00,0.004,,
5.57E+00,-0.0048,,
5.58E+00,0.0024,,
5.58E+00,-0.002,,
5.59E+00,-0.0004,,
5.60E+00,0.002,,
5.61E+00,0.0008,,
5.62E+00,0.002,,
5.62E+00,-0.0008,,
5.63E+00,-0.0012,,
5.64E+00,0.0004,,
5.65E+00,-0.0008,,
5.66E+00,0,,
5.66E+00,0,,
5.67E+00,0.0004,,
5.68E+00,0,,
5.69E+00,0,,
5.70E+00,0.0004,,
5.70E+00,-0.0004,,
5.71E+00,-0.0004,,
5.72E+00,-0.0004,,
5.73E+00,-0.0004,,
5.74E+00,-0.0004,,
5.74E+00,0,,
5.75E+00,0,,
5.76E+00,-0.0008,,
5.77E+00,-0.0004,,
5.78E+00,0,,
5.78E+00,0,,
5.79E+00,-0.0004,,
5.80E+00,0.0004,,
5.81E+00,0.0004,,
5.82E+00,0,,
5.82E+00,-0.0004,,
5.83E+00,0,,
5.84E+00,-0.0004,,
5.85E+00,0.0004,,
5.86E+00,0,,
5.86E+00,-0.0008,,
5.87E+00,-0.0008,,
5.88E+00,-0.0004,,
5.89E+00,-0.0008,,
5.90E+00,-0.0008,,
5.90E+00,-0.0004,,
5.91E+00,0.0004,,
5.92E+00,-0.0008,,
5.93E+00,-0.0004,,
5.94E+00,-0.0004,,
5.94E+00,0.0004,,
5.95E+00,-0.0004,,
5.96E+00,0,,
5.97E+00,0,,
5.98E+00,-0.0004,,
5.98E+00,-0.0008,,
5.99E+00,0,,
6.00E+00,0,,
6.01E+00,-0.0004,,
6.02E+00,0,,
6.02E+00,-0.0012,,
6.03E+00,-0.0004,,
6.04E+00,-0.0004,,
6.05E+00,0,,
6.06E+00,0.0004,,
6.06E+00,0,,
6.07E+00,-0.0016,,
6.08E+00,-0.0004,,
6.09E+00,-0.0008,,
6.10E+00,-0.0004,,
6.10E+00,0.0004,,
6.11E+00,0.0004,,
6.12E+00,-0.0004,,
6.13E+00,-0.0008,,
6.14E+00,0.0004,,
6.14E+00,-0.0004,,
6.15E+00,0,,
6.16E+00,-0.0004,,
6.17E+00,-0.0004,,
6.18E+00,0,,
6.18E+00,-0.0004,,
6.19E+00,0.0004,,
6.20E+00,0,,
6.21E+00,-0.0004,,
6.22E+00,-0.0008,,
6.22E+00,-0.0004,,
6.23E+00,-0.0012,,
6.24E+00,-0.0004,,
6.25E+00,-0.0008,,
6.26E+00,0,,
6.26E+00,-0.002,,
6.27E+00,-0.0004,,
6.28E+00,-0.0004,,
6.29E+00,-0.0004,,
6.30E+00,-0.0004,,
6.30E+00,-0.0008,,
6.31E+00,0.0008,,
6.32E+00,-0.0008,,
6.33E+00,0.0004,,
6.34E+00,-0.0008,,
6.34E+00,-0.0008,,
6.35E+00,0.0004,,
6.36E+00,0,,
6.37E+00,-0.0012,,
6.38E+00,0.0004,,
6.38E+00,-0.0008,,
6.39E+00,-0.0004,,
6.40E+00,-0.0004,,
